match_id,team_1,team_2,stage,match_date,kickoff_time,match_datetime,venue,status,kickoff_time_ist
23,Ghana,Panama,Group L,2026-06-17,19:00,2026-06-17 19:00:00,"BMO Field; Toronto, CAN",Scheduled,04:30
24,Uzbekistan,Colombia,Group L,2026-06-17,22:00,2026-06-17 22:00:00,"Estadio Azteca; Mexico City, MEX",Scheduled,07:30
25,Czechia,South Africa,Group A,2026-06-18,12:00,2026-06-18 12:00:00,"Mercedes-Benz Stadium; Atlanta, GA",Scheduled,21:30
26,Switzerland,Bosnia and Herzegovina,Group B,2026-06-18,15:00,2026-06-18 15:00:00,"SoFi Stadium; Inglewood, CA",Scheduled,00:30
27,Canada,Qatar,Group B,2026-06-18,18:00,2026-06-18 18:00:00,"BC Place; Vancouver, CAN",Scheduled,03:30
28,Mexico,South Korea,Group A,2026-06-18,21:00,2026-06-18 21:00:00,"Estadio Akron; Guadalajara, MEX",Scheduled,06:30
29,United States,Australia,Group D,2026-06-19,15:00,2026-06-19 15:00:00,"Lumen Field; Seattle, WA",Scheduled,00:30
30,Scotland,Morocco,Group C,2026-06-19,18:00,2026-06-19 18:00:00,"Gillette Stadium; Foxborough, MA",Scheduled,03:30
31,Brazil,Haiti,Group C,2026-06-19,20:30,2026-06-19 20:30:00,"Lincoln Financial Field; Philadelphia, PA",Scheduled,06:00
32,Türkiye,Paraguay,Group D,2026-06-19,23:00,2026-06-19 23:00:00,"Levi's Stadium; Santa Clara, CA",Scheduled,08:30
33,Netherlands,Sweden,Group F,2026-06-20,13:00,2026-06-20 13:00:00,"NRG Stadium; Houston, TX",Scheduled,22:30
34,Germany,Ivory Coast,Group E,2026-06-20,16:00,2026-06-20 16:00:00,"BMO Field; Toronto, CAN",Scheduled,01:30
35,Ecuador,Curacao,Group E,2026-06-20,20:00,2026-06-20 20:00:00,"Arrowhead Stadium; Kansas City, MO",Scheduled,05:30
36,Tunisia,Japan,Group F,2026-06-21,00:00,2026-06-21 00:00:00,"Estadio BBVA Bancomer; Monterrey, MEX",Scheduled,09:30
37,Spain,Saudi Arabia,Group H,2026-06-21,12:00,2026-06-21 12:00:00,"Mercedes-Benz Stadium; Atlanta, GA",Scheduled,21:30
38,Belgium,Iran,Group G,2026-06-21,15:00,2026-06-21 15:00:00,"SoFi Stadium; Inglewood, CA",Scheduled,00:30
39,Uruguay,Cape Verde,Group H,2026-06-21,18:00,2026-06-21 18:00:00,"Hard Rock Stadium; Miami, FL",Scheduled,03:30
40,New Zealand,Egypt,Group G,2026-06-21,21:00,2026-06-21 21:00:00,"BC Place; Vancouver, CAN",Scheduled,06:30
41,Argentina,Austria,Group J,2026-06-22,13:00,2026-06-22 13:00:00,"AT&T Stadium; Arlington, TX",Scheduled,22:30
42,France,Iraq,Group I,2026-06-22,17:00,2026-06-22 17:00:00,"Lincoln Financial Field; Philadelphia, PA",Scheduled,02:30
43,Norway,Senegal,Group I,2026-06-22,20:00,2026-06-22 20:00:00,"MetLife Stadium; East Rutherford, NJ",Scheduled,05:30
44,Jordan,Algeria,Group J,2026-06-22,23:00,2026-06-22 23:00:00,"Levi's Stadium; Santa Clara, CA",Scheduled,08:30
